# <!-- Started Vector A, gradient descent -->
# RunManager log started at Mon Nov  1 23:11:51 2010
216.73579793812775 7.0866057846066202 1.9633554978872967 0.028244936922466657 -0.42802372962551072 0.0, 0.0
216.73579793812775 6.7116057846066202 1.9633554978872967 0.028244936922466657 -0.42802372962551072 3.1622776601683795, 3.16227766017
196.73579793812775 7.4616057846066202 2 0.12824493692246666 -0.42802372962551072 3.1622776601683795, 3.16227766017
216.73579793812775 7.4616057846066202 1.9633554978872967 0.028244936922466657 -0.32802372962551074 3.1622776601683795, 3.16227766017
216.73579793812775 7.0866057846066202 1.7633554978872967 0.028244936922466657 -0.42802372962551072 1.4142135623730951, 1.41421356237
236.73579793812775 7.0866057846066202 1.7633554978872967 0.028244936922466657 -0.5280237296255107 0.0, 0.0
196.73579793812775 6.7116057846066202 2 -0.071755063077533349 -0.42802372962551072 2.0, 2.0
236.73579793812775 7.4616057846066202 1.7633554978872967 0.12824493692246666 -0.42802372962551072 1.0, 1.0
196.73579793812775 7.4616057846066202 1.7633554978872967 0.028244936922466657 -0.42802372962551072 2.2360679774997898, 2.2360679775
176.8602155638485 7.0866057610752691 1.9633569120594878 0.028246960355064899 -0.4122614882491239 2.2360679774997898, 2.2360679775
196.8602155638485 6.7116057610752691 1.9633569120594878 0.12824696035506492 -0.51226148824912388 3.6055512754639891, 3.60555127546
176.8602155638485 7.0866057610752691 1.7633569120594879 0.028246960355064899 -0.4122614882491239 2.8284271247461903, 2.82842712475
196.8602155638485 7.4616057610752691 1.9633569120594878 -0.07175303964493511 -0.4122614882491239 3.0, 3.0
156.8602155638485 7.0866057610752691 1.9633569120594878 0.028246960355064899 -0.51226148824912388 1.0, 1.0
196.8602155638485 6.7116057610752691 2 0.028246960355064899 -0.4122614882491239 1.4142135623730951, 1.41421356237
196.8602155638485 6.7116057610752691 1.7633569120594879 0.12824696035506492 -0.4122614882491239 3.1622776601683795, 3.16227766017
156.8602155638485 6.7116057610752691 1.7633569120594879 0.028246960355064899 -0.4122614882491239 4.4721359549995796, 4.472135955
176.8602155638485 7.0866057610752691 1.9633569120594878 -0.07175303964493511 -0.51226148824912388 2.2360679774997898, 2.2360679775
216.85286035692593 7.0866046832206306 1.9631496084507412 0.032080798847916356 -0.4122614882491239 1.0, 1.0
196.85286035692593 7.0866046832206306 2 0.13208079884791635 -0.31226148824912392 5.3851648071345037, 5.38516480713
216.85286035692593 7.4616046832206306 2 0.13208079884791635 -0.51226148824912388 1.0, 1.0
196.85286035692593 7.4616046832206306 2 0.032080798847916356 -0.51226148824912388 1.4142135623730951, 1.41421356237
216.85286035692593 7.0866046832206306 2 0.032080798847916356 -0.51226148824912388 0.0, 0.0
216.85286035692593 7.0866046832206306 2 -0.06791920115208365 -0.4122614882491239 2.2360679774997898, 2.2360679775
196.85286035692593 7.4616046832206306 1.7631496084507412 -0.06791920115208365 -0.51226148824912388 3.1622776601683795, 3.16227766017
216.85286035692593 7.4616046832206306 2 0.13208079884791635 -0.51226148824912388 3.1622776601683795, 3.16227766017
236.85286035692593 6.7116046832206306 1.7631496084507412 0.13208079884791635 -0.31226148824912392 3.6055512754639891, 3.60555127546
256.7588059176515 7.086604508020792 1.9631484261964789 0.032095497559651562 -0.39855428188872777 1.4142135623730951, 1.41421356237
256.7588059176515 7.461604508020792 1.9631484261964789 0.032095497559651562 -0.39855428188872777 3.1622776601683795, 3.16227766017
276.7588059176515 6.711604508020792 1.9631484261964789 0.032095497559651562 -0.49855428188872775 1.4142135623730951, 1.41421356237
236.7588059176515 7.086604508020792 2 -0.067904502440348444 -0.29855428188872779 5.0, 5.0
276.7588059176515 6.711604508020792 1.9631484261964789 0.032095497559651562 -0.29855428188872779 4.1231056256176606, 4.12310562562
236.7588059176515 6.711604508020792 1.7631484261964789 -0.067904502440348444 -0.29855428188872779 3.1622776601683795, 3.16227766017
276.7588059176515 7.461604508020792 2 0.13209549755965155 -0.39855428188872777 0.0, 0.0
276.7588059176515 7.086604508020792 2 -0.067904502440348444 -0.29855428188872779 5.3851648071345037, 5.38516480713
256.7588059176515 7.461604508020792 2 0.032095497559651562 -0.49855428188872775 2.8284271247461903, 2.82842712475
216.82539910005565 7.086604508020792 1.9631485670818605 0.031982789455856357 -0.38701899708998549 2.0, 2.0
216.82539910005565 7.086604508020792 2 0.13198278945585637 -0.28701899708998546 1.4142135623730951, 1.41421356237
236.82539910005565 6.711604508020792 1.7631485670818605 -0.068017210544143641 -0.28701899708998546 2.2360679774997898, 2.2360679775
236.82539910005565 6.711604508020792 1.7631485670818605 0.13198278945585637 -0.28701899708998546 4.1231056256176606, 4.12310562562
196.82539910005565 7.086604508020792 1.7631485670818605 -0.068017210544143641 -0.28701899708998546 3.1622776601683795, 3.16227766017
196.82539910005565 7.086604508020792 1.9631485670818605 0.031982789455856357 -0.38701899708998549 1.0, 1.0
216.82539910005565 6.711604508020792 1.7631485670818605 0.13198278945585637 -0.28701899708998546 8.0622577482985491, 8.0622577483
216.82539910005565 6.711604508020792 2 0.031982789455856357 -0.38701899708998549 1.0, 1.0
196.82539910005565 7.461604508020792 1.9631485670818605 -0.068017210544143641 -0.28701899708998546 1.0, 1.0
256.68675804420837 7.0866041563326378 1.9631453812277879 0.032042782469679836 -0.37038175042993188 0.0, 0.0
256.68675804420837 7.0866041563326378 2 -0.067957217530320163 -0.37038175042993188 1.4142135623730951, 1.41421356237
256.68675804420837 7.0866041563326378 1.9631453812277879 0.13204278246967985 -0.37038175042993188 2.0, 2.0
256.68675804420837 7.0866041563326378 2 -0.067957217530320163 -0.37038175042993188 3.6055512754639891, 3.60555127546
256.68675804420837 7.0866041563326378 1.9631453812277879 -0.067957217530320163 -0.27038175042993184 1.4142135623730951, 1.41421356237
276.68675804420837 7.4616041563326378 1.9631453812277879 -0.067957217530320163 -0.37038175042993188 2.2360679774997898, 2.2360679775
276.68675804420837 7.4616041563326378 2 -0.067957217530320163 -0.27038175042993184 1.4142135623730951, 1.41421356237
276.68675804420837 7.0866041563326378 1.763145381227788 0.13204278246967985 -0.27038175042993184 2.2360679774997898, 2.2360679775
256.68675804420837 7.4616041563326378 1.763145381227788 0.032042782469679836 -0.47038175042993191 1.0, 1.0
296.68662970351016 7.0866041563326378 1.9631980436066179 0.032548734693786018 -0.37038175042993188 1.0, 1.0
316.68662970351016 6.7116041563326378 1.9631980436066179 -0.067451265306213981 -0.47038175042993191 0.0, 0.0
296.68662970351016 6.7116041563326378 1.7631980436066179 -0.067451265306213981 -0.37038175042993188 0.0, 0.0
316.68662970351016 7.4616041563326378 1.7631980436066179 0.032548734693786018 -0.47038175042993191 2.0, 2.0
316.68662970351016 7.4616041563326378 1.9631980436066179 -0.067451265306213981 -0.37038175042993188 1.0, 1.0
276.68662970351016 6.7116041563326378 1.7631980436066179 0.13254873469378603 -0.37038175042993188 3.1622776601683795, 3.16227766017
276.68662970351016 6.7116041563326378 2 -0.067451265306213981 -0.37038175042993188 4.4721359549995796, 4.472135955
316.68662970351016 7.4616041563326378 2 0.032548734693786018 -0.47038175042993191 1.4142135623730951, 1.41421356237
276.68662970351016 7.4616041563326378 1.9631980436066179 -0.067451265306213981 -0.37038175042993188 1.4142135623730951, 1.41421356237
256.72643743059103 7.0866011831204796 1.9633201712856614 0.041469054663507761 -0.37038175042993188 1.4142135623730951, 1.41421356237
