# <!-- Vector B, Gradient Descent -->
# RunManager log started at Mon Nov  1 23:25:49 2010
201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996 98.432718137822448, 98.4327181378
221.18060199999999 1.4456720000000001 1.6165849999999999 -0.50386200000000003 0.75117999999999996 88.481636512894582, 88.4816365129
201.18060199999999 1.4456720000000001 1.416585 -0.30386199999999997 0.75117999999999996 67.53517601961218, 67.5351760196
221.18060199999999 2.1956720000000001 1.6165849999999999 -0.30386199999999997 0.85117999999999994 40.162171256046406, 40.162171256
201.18060199999999 1.4456720000000001 1.6165849999999999 -0.50386200000000003 0.75117999999999996 95.854055730574075, 95.8540557306
181.18060199999999 1.4456720000000001 1.6165849999999999 -0.30386199999999997 0.75117999999999996 70.34912934784623, 70.3491293478
181.18060199999999 1.4456720000000001 1.416585 -0.403862 0.85117999999999994 43.266615305567875, 43.2666153056
201.18060199999999 1.8206720000000001 1.8165849999999999 -0.30386199999999997 0.75117999999999996 63.387695966961914, 63.387695967
181.18060199999999 1.8206720000000001 1.8165849999999999 -0.50386200000000003 0.75117999999999996 44.944410108488462, 44.9444101085
201.18060199999999 1.7857029473718802 1.6165849999999999 -0.60364448889710776 0.75117999999999996 46.861498055439924, 46.8614980554
221.18060199999999 1.7857029473718802 1.416585 -0.60364448889710776 0.65117999999999998 50.24937810560445, 50.2493781056
221.18060199999999 1.7857029473718802 1.8165849999999999 -0.60364448889710776 0.75117999999999996 25.495097567963924, 25.495097568
221.18060199999999 1.7857029473718802 1.416585 -0.70364448889710773 0.75117999999999996 50.990195135927848, 50.9901951359
221.18060199999999 1.7857029473718802 1.8165849999999999 -0.60364448889710776 0.75117999999999996 41.400483088968905, 41.400483089
201.18060199999999 1.4107029473718802 1.6165849999999999 -0.60364448889710776 0.75117999999999996 17.088007490635061, 17.0880074906
221.18060199999999 2.1607029473718802 1.416585 -0.70364448889710773 0.65117999999999998 48.836461788299118, 48.8364617883
221.18060199999999 1.7857029473718802 1.416585 -0.50364448889710778 0.65117999999999998 46.61544808322666, 46.6154480832
181.18060199999999 1.7857029473718802 1.6165849999999999 -0.60364448889710776 0.65117999999999998 38.832975677895199, 38.8329756779
227.32078186416419 1.7857055117157052 1.6165718800466724 -0.60370477936556943 0.59979548547395234 59.033888572581766, 59.0338885726
227.32078186416419 1.7857055117157052 1.6165718800466724 -0.70370477936556941 0.59979548547395234 107.33592129385204, 107.335921294
207.32078186416419 2.1607055117157055 1.4165718800466724 -0.70370477936556941 0.69979548547395232 79.158069708653201, 79.1580697087
247.32078186416419 1.7857055117157052 1.4165718800466724 -0.70370477936556941 0.69979548547395232 91.214034007931033, 91.2140340079
227.32078186416419 2.1607055117157055 1.6165718800466724 -0.60370477936556943 0.49979548547395236 65.069193939989759, 65.06919394
227.32078186416419 1.4107055117157052 1.6165718800466724 -0.60370477936556943 0.69979548547395232 83.725742755737912, 83.7257427557
227.32078186416419 1.7857055117157052 1.4165718800466724 -0.50370477936556945 0.69979548547395232 86.330759292386631, 86.3307592924
247.32078186416419 2.1607055117157055 1.8165718800466724 -0.70370477936556941 0.69979548547395232 95.351979528481735, 95.3519795285
227.32078186416419 1.4107055117157052 1.4165718800466724 -0.50370477936556945 0.59979548547395234 145.08618128546908, 145.086181285
262.08601384902761 1.7855075918355641 1.6159867356090649 -0.50478876578900955 0.59979548547395234 72.449982746719826, 72.4499827467
262.08601384902761 1.4105075918355641 1.8159867356090649 -0.60478876578900953 0.49979548547395236 124.90396310766124, 124.903963108
242.08601384902761 1.4105075918355641 1.8159867356090649 -0.40478876578900957 0.49979548547395236 84.433405711246778, 84.4334057112
242.08601384902761 1.7855075918355641 1.415986735609065 -0.60478876578900953 0.59979548547395234 51.107729356722551, 51.1077293567
242.08601384902761 2.1605075918355641 1.6159867356090649 -0.40478876578900957 0.69979548547395232 43.416586692184822, 43.4165866922
242.08601384902761 2.1605075918355641 1.6159867356090649 -0.60478876578900953 0.69979548547395232 97.20082304178294, 97.2008230418
282.08601384902761 1.7855075918355641 1.8159867356090649 -0.60478876578900953 0.59979548547395234 92.200867674876037, 92.2008676749
262.08601384902761 1.7855075918355641 1.6159867356090649 -0.60478876578900953 0.59979548547395234 56.222771187482387, 56.2227711875
282.08601384902761 1.4105075918355641 1.8159867356090649 -0.40478876578900957 0.59979548547395234 89.185200566013194, 89.185200566
290.79061643865492 1.7855050020613019 1.6160281143978823 -0.50516591809703748 0.46050800548419291 51.088159097779204, 51.0881590978
310.79061643865492 1.4105050020613019 1.6160281143978823 -0.60516591809703746 0.36050800548419293 175.35392781457733, 175.353927815
290.79061643865492 1.4105050020613019 1.6160281143978823 -0.4051659180970375 0.56050800548419288 97.943861471763512, 97.9438614718
290.79061643865492 1.7855050020613019 1.6160281143978823 -0.60516591809703746 0.46050800548419291 82.462112512353215, 82.4621125124
