# <!-- Vector C, gradient descent -->
# RunManager log started at Mon Nov  1 23:41:45 2010
90.161608079059036 2.0936276321011063 0.40692057680126537 0.70168527110547441 0.29694496659796576 1.4142135623730951, 1.41421356237
70.161608079059036 2.4686276321011063 0.20692057680126535 0.70168527110547441 0.19694496659796576 0.0, 0.0
70.161608079059036 2.4686276321011063 0.20692057680126535 0.70168527110547441 0.29694496659796576 0.0, 0.0
90.161608079059036 2.4686276321011063 0.60692057680126532 0.70168527110547441 0.29694496659796576 0.0, 0.0
90.161608079059036 2.0936276321011063 0.40692057680126537 0.80168527110547438 0.29694496659796576 3.1622776601683795, 3.16227766017
70.161608079059036 2.4686276321011063 0.60692057680126532 0.70168527110547441 0.29694496659796576 1.0, 1.0
70.161608079059036 2.4686276321011063 0.40692057680126537 0.60168527110547443 0.39694496659796574 1.4142135623730951, 1.41421356237
110.16160807905904 1.7186276321011063 0.60692057680126532 0.70168527110547441 0.29694496659796576 12.649110640673518, 12.6491106407
90.161608079059036 2.4686276321011063 0.40692057680126537 0.80168527110547438 0.19694496659796576 0.0, 0.0
129.88092883171745 2.0893523485457539 0.45416840008566983 0.70168527110547441 0.29694496659796576 16.492422502470642, 16.4924225025
109.88092883171745 2.4643523485457539 0.45416840008566983 0.70168527110547441 0.19694496659796576 3.1622776601683795, 3.16227766017
109.88092883171745 2.0893523485457539 0.45416840008566983 0.60168527110547443 0.29694496659796576 6.0827625302982193, 6.0827625303
149.88092883171745 2.4643523485457539 0.65416840008566979 0.80168527110547438 0.19694496659796576 10.440306508910551, 10.4403065089
129.88092883171745 1.7143523485457539 0.45416840008566983 0.80168527110547438 0.29694496659796576 16.15549442140351, 16.1554944214
129.88092883171745 2.4643523485457539 0.25416840008566982 0.60168527110547443 0.39694496659796574 9.8994949366116654, 9.89949493661
109.88092883171745 2.4643523485457539 0.25416840008566982 0.80168527110547438 0.19694496659796576 1.4142135623730951, 1.41421356237
129.88092883171745 2.0893523485457539 0.45416840008566983 0.70168527110547441 0.29694496659796576 13.892443989449804, 13.8924439894
109.88092883171745 2.0893523485457539 0.65416840008566979 0.60168527110547443 0.19694496659796576 3.6055512754639891, 3.60555127546
129.88092883171745 1.3393523485457539 0.45416840008566983 0.70168527110547441 0.29694496659796576 19.849433241279208, 19.8494332413
109.88092883171745 1.3393523485457539 0.25416840008566982 0.60168527110547443 0.39694496659796574 5.8309518948453007, 5.83095189485
129.88092883171745 1.3393523485457539 0.45416840008566983 0.60168527110547443 0.19694496659796576 10.63014581273465, 10.6301458127
109.88092883171745 1.7143523485457539 0.65416840008566979 0.70168527110547441 0.39694496659796574 4.1231056256176606, 4.12310562562
129.88092883171745 1.7143523485457539 0.25416840008566982 0.80168527110547438 0.19694496659796576 10.63014581273465, 10.6301458127
109.88092883171745 1.3393523485457539 0.65416840008566979 0.80168527110547438 0.19694496659796576 7.2111025509279782, 7.21110255093
149.88092883171745 1.7143523485457539 0.65416840008566979 0.60168527110547443 0.19694496659796576 21.633307652783937, 21.6333076528
