<!--[SMN64] Linear Regression, Vector A
RunManager log started at Sat Nov 20 15:49:13 2010 -->
216.73579793812775 7.0866057846066202 1.9633554978872967 0.028244936922466657 -0.42802372962551072, 2.2360679775
378.13356725691091 0.63458104385467951 0.51276536817902307 -0.17516751004373948 -0.28457681031090981, 41.0487515035
228.83537636952789 3.7217517578296153 -1.4373055770156928 0.52009743999641933 -0.85783755141084184, 1.41421356237
377.72176850759286 0.86807507407752649 0.43892254399546093 -0.017154217977382258 -0.38350846404616235, 51.4295634825
273.12332454078626 7.9530538908868298 -0.78010256297518588 0.61974300126664716 0.9123459929849107, 2.2360679775
363.78289868386634 7.9401635335239353 0.46032094510940835 -0.54892231651113699 -0.12682173004717034, 25.2388589282
378.51440720493883 0.5 0.56899563979147127 -0.34664671517321038 -0.20179252041775114, 152.594233181
378.7794128409522 0.5 0.5957085894762032 -0.51481904149882107 -0.10332187027184137, 233.452350599
378.93920603153583 0.5 0.58211950617487884 -0.69448754791337608 -0.019545118096745445, 255.632548788
379.05638730208364 0.5 0.54973940898842322 -0.87921262428972513 0.053222717701086941, 284.450347161
379.15168573999705 0.5 0.50690544374687585 -1.0 0.11867702109275727, 149.271564606
379.28444375680311 0.5 0.48352717604603995 -1.0 0.19664331037868571, 296.319084772
379.39681608174686 0.5 0.44963942426326353 -1.0 0.27116741078624718, 264.781041617
379.50612145816211 0.5 0.41415339334062962 -1.0 0.34591368510762288, 303.922687537
379.6090552456954 0.5 0.37525878383744232 -1.0 0.42322518155348327, 182.87700785
379.72121526743609 0.5 0.3416559644817353 -1.0 0.49221500465198537, 148.519359008
379.84386992016158 0.5 0.31506259886163396 -1.0 0.5444712294781533, 104.675689632
379.97704195549102 0.5 0.29825549733092399 -1.0 0.56772215738583187, 73.3757453114
380.11723218186108 0.5 0.29355112399653926 -1.0 0.55457041693526965, 28.4604989415
380.26156518243448 0.5 0.30510023405402281 -1.0 0.50086665112595674, 72.2011080247
380.41004388546884 0.5 0.32885748284652599 -1.0 0.42683894787478682, 176.01136327
380.55827811570839 0.5 0.35225000489732089 -1.0 0.35316952345594915, 259.599691833
380.69541662302464 0.5 0.36423256101178492 -1.0 0.28526794135000111, 284.445073784
380.81738122127535 0.5 0.36313466983776443 -1.0 0.21907116979927219, 295.575709421
380.92364288383453 0.5 0.3494561242985269 -1.0 0.15077219851979135, 329.151940599
381.01178707982621 0.5 0.3215469878833554 -1.0 0.077008526325454574, 214.536710145
381.10011889398402 0.5 0.2937888592587074 -1.0 0.0033259693303284571, 203.973037434
381.19107397429229 0.5 0.26819211534783327 -1.0 -0.068973138540164791, 268.119376398
381.2739473208332 0.5 0.2358968837920154 -1.0 -0.14603077155923366, 282.856854257
381.34859384012339 0.5 0.19675525015788337 -1.0 -0.22826173039560654, 232.860473245
381.4246942457205 0.5 0.15884959377643681 -1.0 -0.30951658852292463, 128.362767187
381.52213295295502 0.5 0.14003642574166578 -1.0 -0.37482292955375152, 115.74109037
381.64689758045563 0.5 0.14728331815396756 -1.0 -0.41641904886730896, 149.646249535
381.78921130264445 0.5 0.17196848343791171 -1.0 -0.44045387018070153, 89.4427191
381.96280494880619 0.5 0.22938337226372602 -1.0 -0.42688085095181233, 48.795491595
382.16720912272046 0.5 0.32270950737415044 -1.0 -0.36141197224779104, 50.0399840128
382.38526646025576 0.5 0.43289800386954963 -1.0 -0.25571932165913952, 204.462710537
382.60173654702987 0.5 0.54295974236199518 -1.0 -0.15581344539723763, 268.091402324
382.81299272188164 0.5 0.66053398266191898 -1.0 -0.068297500570824565, 283.924285682
