#<!--[SMN] Linear Regression, Vector B
#RunManager log started at Sat Nov 20 16:14:30 2010 -->
201.18060199999999 1.8206720000000001 1.6165849999999999 -0.403862 0.75117999999999996, 22.360679775
3.7131052374259621 3.4078342050239341 1.7093726709200094 0.52086030065704669 0.7718439158003676, 0.0
321.01783050671395 5.7185774939102618 0.43356933336858461 -0.97763553625871902 -0.87654293131179073, 2.82842712475
246.85832785278598 3.5298202688814753 -0.88973830604532544 -0.783231692046096 -0.40830041438372944, 1.0
260.78398496429725 6.3907023037765676 -0.36833714664390538 -0.7799174705246561 -0.13441179059698904, 9.0
201.09849884549951 1.8284572063494087 1.6607010939878897 -0.5900468719590295 0.82077998195933799, 15.5563491861
201.17791212122634 1.773998555981491 1.6913993760974835 -0.7169346049408688 0.97392322220235372, 73.2461603089
201.05534094305457 1.803771989044896 1.7280975352633905 -0.90978497817741033 1.0, 44.72135955
200.96964216611909 1.8150589017542818 1.7621755066572686 -1.0 1.0, 61.0327780787
200.88361308182161 1.8265094904761072 1.7962922758654514 -1.0 1.0, 48.5077313425
200.81396700623625 1.8300223315654836 1.8275602169821243 -1.0 1.0, 28.6356421266
200.79006373053087 1.8124754951850008 1.8477790659716704 -1.0 1.0, 33.2415402772
200.79984113146213 1.7804362388038266 1.858168405821119 -1.0 1.0, 20.6155281281
200.8681647569496 1.7254007738469952 1.8490055546243898 -1.0 1.0, 32.0156211872
200.95836357442101 1.6626856959786085 1.832236271961591 -1.0 1.0, 36.0693775937
201.05703315749622 1.5973280050459782 1.8125902815101371 -1.0 1.0, 38.9101529167
201.15786766164805 1.5313994006947675 1.7922663982154172 -1.0 1.0, 31.2409987036
201.26794326195852 1.4637598254682511 1.7694893817900943 -1.0 1.0, 58.3095189485
201.3659132491409 1.3967939785005687 1.748628031092746 -1.0 1.0, 58.9406481132
201.4581000558633 1.3283110478876639 1.7272717560031638 -1.0 1.0, 58.2408791142
201.54936912344027 1.2568300888793416 1.7037969126788393 -1.0 1.0, 68.6804193348
201.64483912599331 1.1782373534808794 1.6744839674457035 -1.0 1.0, 138.24615727
201.77098590335717 1.0696498066104145 1.6171756927160346 -1.0 1.0, 137.786066059
201.93241785565957 0.93681345431191809 1.5282231708825518 -1.0 1.0, 124.919974384
202.11870248787773 0.79253027324519199 1.4130587172863374 -1.0 1.0, 78.8542960149
202.30772514980322 0.64767969743309417 1.2942278166469943 -1.0 1.0, 45.2769256907
202.48260406182553 0.50450760687971119 1.1956926876043208 -1.0 1.0, 67.6017751246
202.6534809493514 0.5 1.1024375173620802 -1.0 1.0, 80.1124210095
202.82747285236661 0.5 1.0032920871429254 -1.0 1.0, 87.0919054792
203.00408678217531 0.5 0.8947901843501932 -1.0 1.0, 94.8103369892
203.18092038366632 0.5 0.77514517219992407 -1.0 1.0, 94.4933860119
203.35614544573954 0.5 0.64887620699947413 -1.0 1.0, 149.030198282
203.51768551186089 0.5 0.49760804609544074 -1.0 1.0, 138.610966377
203.67037841476542 0.5 0.33710103161864929 -0.99317201675682998 1.0, 98.0815986819
203.82717497207625 0.5 0.18010894560867344 -0.98907570533855038 1.0, 94.0212741883
203.99080061073215 0.5 0.028265924684703819 -0.98856275137217031 1.0, 85.1645466142
204.16654432582501 0.5 -0.11545362638241186 -0.9926152783830926 1.0, 43.8634243989
204.38282161446759 0.5 -0.2343090949779022 -1.0 1.0, 38.0131556175
204.65805238532752 0.5 -0.31784084121335598 -1.0 1.0, 32.3882694814
205.00573941042109 0.5 -0.35290688224769806 -1.0 1.0, 24.3310501212
205.43334833781606 0.5 -0.32263578752740107 -1.0 1.0, 33.0
205.90772113045227 0.5 -0.23982801925300568 -1.0 1.0, 44.72135955
206.3983783488768 0.5 -0.12789872597026161 -1.0 1.0, 33.0151480384
206.89397583776523 0.5 0.017845865137925715 -1.0 1.0, 63.0317380373
207.38866524794503 0.5 0.16578930939543085 -1.0 1.0, 64.0702739186
207.88148240346246 0.5 0.31531160245119227 -1.0 1.0, 96.0208310733
208.39756572176941 0.5 0.45553766897329961 -1.0 1.0, 122.429571591
208.95902586757384 0.5 0.58438580422957864 -1.0 1.0, 149.241415163
209.56553462487906 0.5 0.70068579044755597 -0.96198431105341264 1.0, 102.303470127
210.17664213758547 0.5 0.8118895608339366 -0.8950920231656283 1.0, 84.5044377533
210.7860932079507 0.5 0.92172249676783624 -0.82055545138170471 1.0, 63.2534584035
211.38791190715361 0.5 1.0359315856930407 -0.799347074053402 1.0, 55.8032257132
211.89424104033748 0.5 1.1386778096433354 -0.85785307696610469 1.0, 22.0227155455
212.15736695846996 0.5 1.1972366045346443 -1.0 1.0, 32.6496554346
212.36560813810638 0.5 1.2385153384602507 -1.0 1.0, 7.07106781187
212.50255043791438 0.5 1.2568514996467375 -1.0 1.0, 1.0
212.58092100083212 0.5 1.2563232773315898 -1.0 1.0, 8.0622577483
212.6198176799368 0.5 1.243269321138559 -1.0 1.0, 7.0
212.62780777802919 0.5 1.2206916332616005 -1.0 1.0, 6.0827625303
212.61124003116976 0.5 1.1908960028724578 -1.0 1.0, 20.6155281281
212.57978982170025 0.5 1.1570178390471684 -1.0 1.0, 61.1882341631
212.54797474116643 0.5 1.1230482767606338 -1.0 1.0, 72.7323861839
212.51922445711529 0.5 1.0897690984085837 -1.0 1.0, 70.7106781187
