#<!--[SMN] Linear Regression, Vector C
#RunManager log started at Sat Nov 20 16:51:14 2010-->
90.161608079059036 2.0936276321011063 0.40692057680126537 0.70168527110547441 0.29694496659796576, 2.0
56.384875838174821 7.7779331552476112 -0.012559420154072853 0.95452952285719395 0.38506136278637659, 0.0
110.1276999908801 7.1891698064189118 1.1312814514060263 -0.93275554865762267 0.55135351211723904, 1.41421356237
194.32000608874554 6.5356549101810044 0.77649163927653664 0.13163732238758108 0.35647553160000855, 16.5529453572
99.463893222492544 6.597098419160452 1.6678662033539644 0.74409096837588273 0.60046263231822627, 3.16227766017
194.40842548556463 6.5574997552475933 0.83161470112429214 0.13824962347249153 0.15858033203554428, 11.6619037897
194.76523125451882 6.5440175072131144 0.83980698851617808 0.14619936184403357 -0.041179309957255772, 14.5602197786
195.26363911293214 6.5118369439110539 0.82021070075017577 0.15427636309574161 -0.24057566475724596, 3.0
195.73140075673024 6.4200919499695814 0.65401535976927361 0.14631503572976629 -0.060499647626455821, 14.7648230602
196.26949648299521 6.3231592423201937 0.45710259697770828 0.13698378262910504 0.11138366619911955, 11.1803398875
196.86009263316336 6.2159847699618496 0.26982038149851173 0.12927547093163599 0.28558583730903098, 15.8113883008
197.40848764821652 6.1155993328484843 0.081935663682971754 0.12085287184793925 0.45988377519821877, 15.2315462117
198.04197733510836 6.0024617406831871 -0.10947446971394867 0.11349209523735493 0.63270187628530317, 9.05538513814
199.97301319346789 5.70483638087609 -0.38061196520473728 0.12003693439222807 0.75593326116758108, 1.0
200.6812975101102 5.6259869805186158 -0.28976959280837888 0.13575164898042397 0.56296873609543285, 6.0
201.26383941356065 5.5643572194423756 -0.17509073233652073 0.15020345012498337 0.37264071626408835, 5.83095189485
201.80215685790077 5.5072230145932108 -0.031514471649794762 0.16353861335364853 0.18708947297280268, 10.7703296143
202.33971490255161 5.4503473191721428 0.1096843607368935 0.17696487332220434 0.0010835581283128726, 15.8113883008
202.82416105310213 5.4031538475249814 0.21545088332387508 0.19159341407096736 -0.19081516232600731, 12.8062484749
203.32327112738906 5.3533668379687338 0.32751568385786556 0.20609368314819915 -0.38178012806667289, 10.8166538264
203.93164885302386 5.2843060450035013 0.47714509277635875 0.21998669430436907 -0.56579462289471738, 5.38516480713
205.09020969376357 5.1183014208555901 0.78406818813542567 0.22765712726558734 -0.6857842654108729, 1.0
206.43418694329611 4.9301802137095967 1.02935465321159 0.19608333835068137 -0.53949693332284143, 2.0
207.43992257919101 4.8506713528217071 1.0465670307891319 0.14174039615667974 -0.3484525658285087, 5.09901951359
208.35255887493537 4.8230571319059479 0.96445591166368994 0.07974024192989243 -0.16299266762023584, 9.05538513814
209.26544453089815 4.794834266182038 0.8834658216714506 0.017811529419570989 0.022607735795484446, 16.6433169771
210.04213304340928 4.7008013779257629 0.93248671050073595 -0.031775309425664887 0.21312420455254111, 14.2126704036
210.73482246471832 4.5925336706436415 1.0157525944513142 -0.075157188291895771 0.40164252775342058, 15.8113883008
211.34520898044775 4.4761283616402148 1.1228771575945995 -0.11231641454004097 0.58812949811389448, 8.60232526704
212.13240819155729 4.3719719984967993 1.1865452860987649 -0.16415655637916504 0.77657643409671284, 5.0
213.51457285003573 4.317492105397732 1.0945632023386618 -0.26358952240739408 0.94312699068339567, 8.0622577483
215.30538443586795 4.3096068900418869 0.88893810986020605 -0.38246509428825121 1.0, 12.0415945788\
216.95035793726743 4.2900691565807207 0.71139279229059593 -0.50078594514129149 1.0, 4.0
220.34924841355374 4.3711130512670069 0.32125550191488211 -0.51167571751344343 1.0, 2.0
222.11348268430297 4.4654271570966912 0.24611583066710213 -0.35376613707733318 0.88623394726931437, 8.24621125124
223.74063660202043 4.5602534588273143 0.19253511271189336 -0.19727927535543965 0.76753889698993061, 8.24621125124
225.28623127791766 4.6608526360810796 0.15890349618090024 -0.045554865675703771 0.64137411484311047, 9.48683298051
226.82843277163374 4.7627638623015782 0.12742146102005841 0.10523645503112466 0.5140313271397644, 21.5406592285
227.98166183876569 4.7535577818667827 0.0057510348398287364 0.29258324556445392 0.47995814574846285, 16.1554944214
228.90288337096266 4.7179348813708719 -0.11950142162138015 0.48206573258208407 0.47202800951941604, 10.4403065089
229.93353053656162 4.6914144979626133 -0.24830106166916599 0.6703369228332644 0.45386068630792026, 3.0
232.31106826874549 4.8066454631362667 -0.40871820107899215 0.74437581157985089 0.28954609366388789, 1.0
233.46463986835153 4.9500546277052022 -0.36718096528572641 0.58915754300318501 0.17130819402701553, 0.0
234.15796994921459 5.0768290968153789 -0.24714067919700855 0.41570764161841395 0.099490262182297992, 6.32455532034
234.80645645983876 5.2030735109634927 -0.10727905590552836 0.24228166630987213 0.037126369163996392, 12.5299640861
235.45980994299907 5.3256190427994348 0.0028691096949201161 0.067682785201109708 -0.036382132559507632, 17.4928556845
236.01967178487999 5.4306788715871059 0.040399964650489048 -0.10631354409516564 -0.12901261508647049, 23.3238075794
236.40234982331833 5.5124185132570274 0.0033554666134044675 -0.27506906205383785 -0.23245206990419931, 21.2602916255
236.70271680691297 5.5859257826208646 -0.059669348504552813 -0.44167800330262685 -0.33667268861677691, 19.7230829233
236.96928347159704 5.6568821494746642 -0.13182343399915963 -0.60781012236444809 -0.44030067185146127, 18.7882942281
237.22754983611614 5.7273737254673787 -0.20599987660757429 -0.77392093307092935 -0.54362849641346589, 9.05538513814
